kota,kecamatan,kelurahan/desa,Fasilitas BAB,TPA Tinja,Pembuangan Limbah Cair Air Mandi
BANDUNG,BANDUNG KULON,GEMPOL SARI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BANDUNG KULON,CIGONDEWAH KALER,jamban sendiri,tangki septik,drainase/got
BANDUNG,BANDUNG KULON,CIGONDEWAH KIDUL,jamban sendiri,tangki septik,drainase/got
BANDUNG,BANDUNG KULON,CIGONDEWAH RAHAYU,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BANDUNG KULON,CARINGIN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BANDUNG KULON,WARUNG MUNCANG,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BANDUNG KULON,CIBUNTU,jamban sendiri,tangki septik,drainase/got
BANDUNG,BANDUNG KULON,CIJERAH,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BABAKAN CIPARAY,MARGASUKA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BABAKAN CIPARAY,CIRANGRANG,jamban sendiri,tangki septik,drainase/got
BANDUNG,BABAKAN CIPARAY,MARGAHAYU UTARA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BABAKAN CIPARAY,BABAKAN CIPARAY,jamban sendiri,tangki septik,drainase/got
BANDUNG,BABAKAN CIPARAY,BABAKAN,jamban sendiri,kolam,lubang resapan
BANDUNG,BABAKAN CIPARAY,SUKAHAJI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BOJONGLOA KALER,KOPO,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BOJONGLOA KALER,SUKA ASIH,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BOJONGLOA KALER,BABAKAN ASIH,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BOJONGLOA KALER,BABAKAN TAROGONG,jamban sendiri,kolam,lubang resapan
BANDUNG,BOJONGLOA KALER,JAMIKA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BOJONGLOA KIDUL,CIBADUYUT KIDUL,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BOJONGLOA KIDUL,CIBADUYUT WETAN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BOJONGLOA KIDUL,MEKAR WANGI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BOJONGLOA KIDUL,CIBADUYUT,jamban sendiri,IPAL,lubang resapan
BANDUNG,BOJONGLOA KIDUL,KEBON LEGA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BOJONGLOA KIDUL,SITUSAEUR,jamban sendiri,IPAL,lubang resapan
BANDUNG,ASTANAANYAR,KARASAK,jamban sendiri,kolam,drainase/got
BANDUNG,ASTANAANYAR,PELINDUNG HEWAN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,ASTANAANYAR,NYENGSERET,jamban sendiri,tangki septik,lubang resapan
BANDUNG,ASTANAANYAR,PANJUNAN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,ASTANAANYAR,CIBADAK,jamban sendiri,tangki septik,drainase/got
BANDUNG,ASTANAANYAR,KARANG ANYAR,jamban sendiri,tangki septik,lubang resapan
BANDUNG,REGOL,CISEUREUH,jamban sendiri,IPAL,lubang resapan
BANDUNG,REGOL,PASIRLUYU,jamban sendiri,IPAL,drainase/got
BANDUNG,REGOL,ANCOL,jamban sendiri,IPAL,lubang resapan
BANDUNG,REGOL,CIGERELENG,jamban sendiri,IPAL,drainase/got
BANDUNG,REGOL,CIATEUL,jamban sendiri,IPAL,lubang resapan
BANDUNG,REGOL,PUNGKUR,jamban sendiri,IPAL,drainase/got
BANDUNG,REGOL,BALONG GEDE,jamban sendiri,IPAL,lubang resapan
BANDUNG,LENGKONG,CIJAGRA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,LENGKONG,TURANGGA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,LENGKONG,LINGKAR SELATAN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,LENGKONG,MALABAR,jamban sendiri,tangki septik,lubang resapan
BANDUNG,LENGKONG,BURANGRANG,jamban sendiri,tangki septik,lubang resapan
BANDUNG,LENGKONG,CIKAWAO,jamban sendiri,IPAL,lubang resapan
BANDUNG,LENGKONG,PALEDANG,jamban sendiri,IPAL,lubang resapan
BANDUNG,BANDUNG KIDUL,WATES,jamban sendiri,tangki septik,drainase/got
BANDUNG,BANDUNG KIDUL,MENGGER,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BANDUNG KIDUL,BATUNUNGGAL,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BANDUNG KIDUL,KUJANGSARI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BUAHBATU,CIJAURA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BUAHBATU,MARGASARI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BUAHBATU,SEKEJATI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BUAHBATU,JATI SARI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,RANCASARI,DERWATI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,RANCASARI,CIPAMOKOLAN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,RANCASARI,MANJAHLEGA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,RANCASARI,MEKARJAYA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,GEDEBAGE,RANCABOLANG,jamban sendiri,tangki septik,lubang resapan
BANDUNG,GEDEBAGE,RANCANUMPANG,jamban sendiri,tangki septik,lubang resapan
BANDUNG,GEDEBAGE,CISARANTEN KIDUL,jamban sendiri,tangki septik,lubang resapan
BANDUNG,GEDEBAGE,CIMINCRANG,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CIBIRU,PASIR BIRU,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CIBIRU,CIPADUNG,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CIBIRU,PALASARI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CIBIRU,CISURUPAN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,PANYILEUKAN,MEKAR MULYA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,PANYILEUKAN,CIPADUNG KIDUL,jamban sendiri,tangki septik,lubang resapan
BANDUNG,PANYILEUKAN,CIPADUNG WETAN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,PANYILEUKAN,CIPADUNG KULON,jamban sendiri,tangki septik,lubang resapan
BANDUNG,UJUNG BERUNG,PASANGGRAHAN,jamban sendiri,tangki septik,drainase/got
BANDUNG,UJUNG BERUNG,PASIRJATI,jamban sendiri,IPAL,drainase/got
BANDUNG,UJUNG BERUNG,PASIR WANGI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,UJUNG BERUNG,CIGENDING,jamban sendiri,tangki septik,lubang resapan
BANDUNG,UJUNG BERUNG,PASIR ENDAH,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CINAMBO,CISARANTEN WETAN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CINAMBO,BABAKAN PENGHULU,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CINAMBO,PAKEMITAN,jamban sendiri,tangki septik,drainase/got
BANDUNG,CINAMBO,SUKAMULYA,jamban sendiri,tangki septik,drainase/got
BANDUNG,ARCAMANIK,CISARANTEN KULON,jamban sendiri,tangki septik,lubang resapan
BANDUNG,ARCAMANIK,CISARANTEN BINA HARAPAN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,ARCAMANIK,SUKAMISKIN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,ARCAMANIK,CISARANTEN ENDAH,jamban sendiri,tangki septik,jamban umum
BANDUNG,ANTAPANI,ANTAPANI KIDUL,jamban sendiri,IPAL,lubang resapan
BANDUNG,ANTAPANI,ANTAPANI TENGAH,jamban sendiri,IPAL,lubang resapan
BANDUNG,ANTAPANI,ANTAPANI WETAN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,ANTAPANI,ANTAPANI KULON,jamban sendiri,tangki septik,lubang resapan
BANDUNG,MANDALAJATI,JATIHANDAP,jamban sendiri,tangki septik,lubang resapan
BANDUNG,MANDALAJATI,KARANG PAMULANG,jamban sendiri,lubang tanah,lubang resapan
BANDUNG,MANDALAJATI,SINDANG JAYA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,MANDALAJATI,PASIR IMPUN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,KIARACONDONG,KEBON KANGKUNG,jamban sendiri,tangki septik,lubang resapan
BANDUNG,KIARACONDONG,SUKAPURA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,KIARACONDONG,KEBUN JAYANTI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,KIARACONDONG,BABAKAN SARI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,KIARACONDONG,BABAKAN SURABAYA,jamban sendiri,tangki septik,jamban umum
BANDUNG,KIARACONDONG,CICAHEUM,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BATUNUNGGAL,GUMURUH,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BATUNUNGGAL,BINONG,jamban sendiri,IPAL,lubang resapan
BANDUNG,BATUNUNGGAL,KEBON GEDANG,jamban sendiri,IPAL,lubang resapan
BANDUNG,BATUNUNGGAL,MALEER,jamban sendiri,IPAL,drainase/got
BANDUNG,BATUNUNGGAL,CIBANGKONG,jamban sendiri,tangki septik,lubang resapan
BANDUNG,BATUNUNGGAL,SAMOJA,jamban sendiri,IPAL,drainase/got
BANDUNG,BATUNUNGGAL,KACAPIRING,jamban sendiri,IPAL,lubang resapan
BANDUNG,BATUNUNGGAL,KEBON WARU,jamban sendiri,IPAL,lubang resapan
BANDUNG,SUMUR BANDUNG,BRAGA,jamban sendiri,kolam,lubang resapan
BANDUNG,SUMUR BANDUNG,KEBON PISANG,jamban sendiri,IPAL,lubang resapan
BANDUNG,SUMUR BANDUNG,MERDEKA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,SUMUR BANDUNG,BABAKAN CIAMIS,jamban sendiri,kolam,drainase/got
BANDUNG,ANDIR,CAMPAKA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,ANDIR,MALEBER,jamban sendiri,tangki septik,lubang resapan
BANDUNG,ANDIR,GARUDA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,ANDIR,DUNGUS CARIANG,jamban sendiri,tangki septik,lubang resapan
BANDUNG,ANDIR,CIROYOM,jamban sendiri,tangki septik,lubang resapan
BANDUNG,ANDIR,KEBON JERUK,jamban sendiri,IPAL,drainase/got
BANDUNG,CICENDO,ARJUNA,jamban sendiri,kolam,lubang resapan
BANDUNG,CICENDO,PASIRKALIKI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CICENDO,PAMOYANAN,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CICENDO,PAJAJARAN,jamban sendiri,kolam,lubang resapan
BANDUNG,CICENDO,HUSEN SASTRANEGARA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CICENDO,SUKARAJA,jamban sendiri,kolam,drainase/got
BANDUNG,BANDUNG WETAN,TAMAN SARI,jamban sendiri,kolam,drainase/got
BANDUNG,BANDUNG WETAN,CITARUM,jamban sendiri,kolam,lubang resapan
BANDUNG,BANDUNG WETAN,CIHAPIT,jamban sendiri,kolam,drainase/got
BANDUNG,CIBEUNYING KIDUL,SUKAMAJU,jamban sendiri,IPAL,lubang resapan
BANDUNG,CIBEUNYING KIDUL,CICADAS,jamban sendiri,IPAL,lubang resapan
BANDUNG,CIBEUNYING KIDUL,CIKUTRA,jamban sendiri,IPAL,lubang resapan
BANDUNG,CIBEUNYING KIDUL,PADASUKA,jamban sendiri,IPAL,lubang resapan
BANDUNG,CIBEUNYING KIDUL,PASIRLAYUNG,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CIBEUNYING KIDUL,SUKAPADA,jamban sendiri,tangki septik,drainase/got
BANDUNG,CIBEUNYING KALER,CIHAURGEULIS,jamban sendiri,IPAL,drainase/got
BANDUNG,CIBEUNYING KALER,SUKALUYU,jamban sendiri,IPAL,drainase/got
BANDUNG,CIBEUNYING KALER,NEGLASARI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CIBEUNYING KALER,CIGADUNG,jamban sendiri,tangki septik,drainase/got
BANDUNG,COBLONG,CIPAGANTI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,COBLONG,LEBAK SILIWANGI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,COBLONG,LEBAK GEDE,jamban sendiri,kolam,drainase/got
BANDUNG,COBLONG,SADANG SERANG,jamban sendiri,tangki septik,lubang resapan
BANDUNG,COBLONG,SEKELOA,jamban sendiri,IPAL,lubang resapan
BANDUNG,COBLONG,DAGO,jamban sendiri,tangki septik,drainase/got
BANDUNG,SUKAJADI,SUKAWARNA,jamban sendiri,kolam,drainase/got
BANDUNG,SUKAJADI,SUKAGALIH,jamban sendiri,kolam,drainase/got
BANDUNG,SUKAJADI,SUKABUNGAH,jamban sendiri,kolam,drainase/got
BANDUNG,SUKAJADI,CIPEDES,jamban sendiri,kolam,drainase/got
BANDUNG,SUKAJADI,PASTEUR,jamban sendiri,kolam,lubang resapan
BANDUNG,SUKASARI,SARIJADI,jamban sendiri,tangki septik,lubang resapan
BANDUNG,SUKASARI,SUKARASA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,SUKASARI,GEGERKALONG,jamban sendiri,tangki septik,lubang resapan
BANDUNG,SUKASARI,ISOLA,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CIDADAP,HEGARMANAH,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CIDADAP,CIUMBULEUIT,jamban sendiri,tangki septik,lubang resapan
BANDUNG,CIDADAP,LEDENG,jamban sendiri,tangki septik,lubang resapan
